,id,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
0,485773,吉利汽车,博越,2018款 1.8TD 自动 两驱 智尊型 4G互联版,吉利博越升级后Carplay消失4S店无升级包,"J300,O348,",2020-06-18,处理反馈
1,485771,吉利汽车,缤越,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越中控异响 车机系统无法升级,"H93,L314,",2020-06-18,处理反馈
2,485770,一汽丰田,RAV4荣放,2019款 2.0L CVT 两驱 先锋版 国VI,一汽丰田RAV4荣放经销商不让报废车辆,"K325,",2020-06-18,信息审核
3,485768,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸韩泰轮胎老化 排气管生锈,"F100,H30,",2020-06-18,信息审核
4,485767,东风风行,景逸X6,2017款 1.5T 手动 尊贵型 劲享系列,东风风行景逸X6方向偏右 安全气囊故障,"A24,D154,H103,",2020-06-18,处理反馈
5,485766,上汽通用五菱,五菱荣光小卡,2019款 1.5L 基本型 双排 L3C 国VI,上汽通用五菱荣光小卡漆面生锈掉漆,"H79,H81,",2020-06-18,处理反馈
6,485765,广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智低速踩油门抖动无动力输出,"B95,B334,",2020-06-18,信息审核
7,485759,北京现代,领动,2018款 1.6L 自动 15周年特别版,北京现代领动转向异响存在质量问题,"D59,",2020-06-18,信息审核
8,485756,一汽-大众,宝来,2017款 1.6L 手动 舒适型,一汽大众宝来后排座椅骨架严重生锈,"H79,",2020-06-18,处理反馈
9,485750,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 耀享型,吉利嘉际备胎异常磨损 转向机漏油 内饰异响,"D58,H93,H68,H157,",2020-06-18,处理反馈
10,485749,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智尚版,北汽新能源EU5喷漆质量差漆面鼓泡,"J303,",2020-06-18,用户评分
11,485748,一汽马自达,阿特兹,2020款 2.5L 蓝天运动版,一汽马自达阿特兹车身B柱中控和天窗异响,"H93,H15,H89,",2020-06-18,处理反馈
12,485747,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越氛围灯与宣传不符希望厂家处理问题,"M279,",2020-06-18,用户评分
13,485743,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉车门 顶棚 中控 刹车异响,"E43,H72,H93,H15,",2020-06-18,处理反馈
14,485742,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸新车方向盘有破损的现象,"H168,",2020-06-18,信息审核
15,485740,上汽集团,名爵6,2018款 20T 自动 豪华智联版 国VI,上汽名爵6变速箱异响解决方案不认可,"B33,I295,I293,",2020-06-18,用户评分
16,485739,上汽通用五菱,五菱宏光,2014款 1.5L S 豪华型,上汽通用五菱宏光车门严重生锈要求处理,"H79,",2020-06-18,处理反馈
17,485737,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放中控显示屏太大 像素太低,"H134,Q322,",2020-06-18,信息审核
18,485736,华晨中华,中华V3,2016款 1.5L 自动 智能型,华晨中华V3车门锁故障希望厂家处理,"H197,",2020-06-18,信息审核
19,485735,一汽马自达,阿特兹,2020款 2.0L 蓝天豪华版,一汽马自达阿特兹中控台异响 B柱异响,"H93,H15,",2020-06-18,用户评分
20,485733,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机与宣传不符 销售人员不回信息,"I295,M279,",2020-06-18,用户评分
21,485732,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,奇瑞捷途X90导航无法更新 钥匙手环不索赔,"H21,H119,I295,I297,I294,",2020-06-18,处理反馈
22,485728,吉利汽车,星越,2019款 改款 300T 耀星者,吉利星越车机与厂商宣传不符要求升级,"M279,",2020-06-18,处理反馈
23,485725,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越挡位灯和影音系统功能与宣传不符,"H134,M279,",2020-06-18,用户评分
24,485723,江淮汽车,嘉悦A5,2020款 1.5T CVT 超越型,江淮嘉悦A5发动机怠速转速高加速无力,"A163,A35,",2020-06-18,处理反馈
25,485722,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉转动方向盘时存在异响,"D59,",2020-06-18,处理反馈
26,485721,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天活力版,一汽马自达CX-4车身多处异响厂家无法处理,"H15,I295,",2020-06-18,用户评分
27,485719,广汽菲克Jeep,大指挥官,2018款 2.0T 四驱 悦享版 国VI,广汽菲克Jeep大指挥官车辆减速时底盘异响,"G56,I295,J301,",2020-06-18,信息审核
28,485717,华晨宝马,宝马3系,2019款 320Li M运动曜夜版,华晨宝马3系后备箱处散发出刺鼻的异味,"H185,",2020-06-18,信息审核
29,485716,长城汽车,炮,2019款 2.0T 商用版 手动 两驱 精英型 长箱 GW4D20M 柴油,长城炮空调不制冷 售后维修无配件,"H101,N318,",2020-06-18,处理反馈
0,486459,吉利汽车,远景,2016款 1.5L 自动 幸福版,吉利远景挂倒挡时不踩油门车辆无法移动,"B334,",2020-06-20,信息审核
1,486442,上汽大众,途观,2012款 1.4TSI 手动 两驱 都会版,上汽大众途观4S店用外采件充当原装配件,"N319,",2020-06-20,信息审核
2,486386,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机正时链条套件故障,"A45,",2020-06-20,信息审核
3,486385,星途,星途LX,2019款 1.6T 星睿版,星途LX发动机与变速箱连接处漏油,"A12,B22,",2020-06-20,信息审核
4,486383,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,"H144,L314,",2020-06-20,信息审核
5,486379,长安马自达,马自达3 昂克赛拉,2017款 2.0L 自动 旗舰型 三厢 国V,长安马自达昂克赛拉后视镜自动折叠功能失灵,"H211,",2020-06-20,信息审核
6,486378,野马汽车,野马T70,2016款 1.5T 手动 豪华型 升级版,野马T70倒车影像不显示黑屏厂家无配件,"H134,N318,",2020-06-20,信息审核
7,486377,广汽讴歌,讴歌CDX,2019款 1.5T 两驱 尊享版,广汽讴歌CDX变速箱顿挫车顶钢板太软,"B19,Q322,",2020-06-20,信息审核
8,486376,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5空调制冷效果差存在质量问题,"H101,",2020-06-20,信息审核
9,486375,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智优科豪马轮胎漏气售后不予质保,"F41,",2020-06-20,信息审核
10,486372,上汽通用五菱,新宝骏RS-5,2019款 1.5T CVT 智能驾控豪华版 国V,新宝骏RS-5玲珑轮胎龟裂 起皮严重,"F100,F186,",2020-06-20,信息审核
11,486368,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,东南DX3离合器异响4S店维修后未解决,"C65,",2020-06-20,信息审核
12,486361,东风悦达起亚,凯绅,2019款 1.8L 自动 GLS,东风悦达起亚凯绅后备箱盖生锈严重,"H79,",2020-06-20,信息审核
13,486353,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符 中控台异响,"H93,M279,",2020-06-20,信息审核
14,486352,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控导航屏幕无故脱胶,"H134,H168,",2020-06-20,信息审核
15,486351,长安汽车,长安CS55 PLUS,2020款 1.5T 自动 炫色型,长安CS55 PLUS起步3100转换挡 悬挂异响,"B69,G204,",2020-06-20,信息审核
16,486350,东风启辰,启辰D60,2019款 十万荣耀 1.6L Entry 手动 辰尚版 国VI,启辰D60后轮眉位置掉漆生锈存在质量问题,"H79,H81,",2020-06-20,信息审核
17,486349,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越刹车异响变速箱挂挡顿挫严重,"B19,E43,",2020-06-20,信息审核
18,486347,华晨宝马,宝马3系,2017款 320i M 运动型,宝马3系冷却液水管断裂发动机高温报警,"A37,A191,H168,",2020-06-20,信息审核
19,486342,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越手机APP无法控制车窗及定位,"H155,",2020-06-20,信息审核
20,486341,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,众泰SR9行驶中变速箱异响挂挡无法行驶,"B33,B334,",2020-06-20,信息审核
21,486339,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸刹车异响 变速箱异响,"B33,E43,",2020-06-20,信息审核
22,486336,上汽大众,朗逸,2018款 280TSI DSG豪华版 两厢 国V,上汽大众朗逸轮毂氧化售后不予质保,"H243,",2020-06-20,信息审核
23,486335,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳大灯亮度不够透镜上有指纹,"H82,H60,",2020-06-20,处理反馈
24,486332,沃尔沃亚太,沃尔沃S60新能源,2015款 2.0T 智越版 E驱混动,沃尔沃S60新能源召回后空调问题频发,"H101,",2020-06-20,信息审核
25,486329,一汽-大众,速腾,2019款 200TSI 手动 舒适型 国VI,一汽大众速腾一挡起步时转速自动升高,"A35,",2020-06-20,信息审核
26,486328,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超燃版 国VI,上汽名爵HS发动机排放故障频发 动力消失,"A34,A255,B96,",2020-06-20,厂家受理
27,486327,吉利汽车,帝豪GS,2018款 1.4T 自动 领潮版 领尚智联型,吉利帝豪GS 4S店私自收回购车合同,"K309,L313,",2020-06-20,信息审核
28,486321,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L车身共振影响驾驶安全,"H268,",2020-06-20,信息审核
29,486318,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左前半轴有漏油现象,"G51,",2020-06-20,信息审核
0,486314,奥迪（进口）,奥迪A1,2014款 30 TFSI Sportback 时尚型,进口奥迪A1变速箱机电单元故障引起故障灯亮,"B96,B84,",2020-06-20,信息审核
1,486312,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 舒适版 改款,进口Jeep指南者隔音棉问题导致车内异味,"H185,",2020-06-20,信息审核
2,486311,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱报警 挡位缺失,"B19,B96,B84,",2020-06-20,处理反馈
3,486308,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际尊享版和高配氛围灯虚假宣传,"M279,",2020-06-20,信息审核
4,486304,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智尚版,北汽新能源EU5行驶时变速箱脱挡无法挂挡,"B20,B246,",2020-06-20,信息审核
5,486302,猎豹汽车,猎豹CS10,2017款 2.0T 手动 风尚型,猎豹CS10转向时异响并且卡顿 刹车抖动,"D59,D123,E111,",2020-06-20,信息审核
6,486298,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾顶棚鼓包 大灯进雾 刹车盘生锈,"E42,H168,H88,",2020-06-20,处理反馈
7,486297,广汽本田,雅阁,2005款 2.4 自动 标准版,广汽本田雅阁吊拉设计的前悬挂存在安全隐患,"Q322,",2020-06-20,信息审核
8,486296,北京奔驰,奔驰C级,2016款 200 L 运动型,北京奔驰C级空调系统无法调节温度影响使用,"H101,",2020-06-20,信息审核
9,486293,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领臻版,奇瑞艾瑞泽5发动机生锈4S店不予解决,"A247,",2020-06-20,信息审核
10,486288,吉利汽车,星越,2019款 改款 350T 驭星者AWD,吉利星越实车多项配置与厂家宣传不符	,"M279,",2020-06-20,信息审核
11,486287,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉新车车门出现下沉,"H149,",2020-06-20,信息审核
12,486286,吉利汽车,帝豪,2018款 1.5L 手动 豪华型,吉利帝豪发动机油耗高一直未解决,"A85,",2020-06-20,信息审核
13,486283,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 豪华型,长安CS75 PLUS车载微信缺失与宣传不符,"M279,",2020-06-20,处理反馈
14,486280,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机盖漆面开裂脱落,"H81,",2020-06-20,信息审核
15,486279,广汽丰田,雷凌,2019款 185T CVT 运动版 国VI,广汽丰田雷凌变速箱换挡顿挫 转向异响,"B19,D59,",2020-06-20,信息审核
16,486277,上汽通用五菱,宝骏360,2018款 1.5L 手动 精英型 国V,宝骏360更换的挡风玻璃漏水漏风4S店不解决,"I295,J303,",2020-06-20,信息审核
